operation	object_size	concurrency	throughput_ops	mb_per_sec	latency_mean_ms	latency_p50_ms	latency_p75_ms	latency_p95_ms	total_ops	total_errors	duration_seconds
create	10K	32	2770.7049180327867	27.057665215163933	2.779	2.301	2.750	0	169013	0	61.021
create	1M	32	513.5737704918033	513.5737704918033	15.052	13.764	15.483	0	31328	0	61.019
create	10K	1	369.59016393442624	3.609278944672131	2.484	2.320	2.567	0	22545	0	61.018
create	10K	8	2484.967213114754	24.26725794057377	2.652	2.231	2.634	0	151583	0	61.018
create	10K	32	2794.409836065574	27.28915855532787	2.766	2.289	2.745	0	170459	0	61.025
read	10K	1	369.0	3.603515625	2.530	2.422	2.634	0	22509	1	61.024
read	10K	8	2097.2295081967213	20.480756915983605	3.298	2.790	3.345	0	127931	8	61.022
read	10K	32	2316.9836065573772	22.626793032786885	3.350	2.781	3.345	0	141336	8	61.027
create	1M	1	65.52459016393442	65.52459016393442	14.617	13.806	15.962	0	3997	0	61.021
create	1M	8	419.327868852459	419.327868852459	15.697	14.499	16.378	0	25579	0	61.025
create	1M	32	505.2295081967213	505.2295081967213	15.294	13.988	15.777	0	30819	0	61.02
read	1M	1	175.5737704918033	175.5737704918033	5.410	4.822	5.876	0	10710	1	61.035
read	1M	8	740.1967213114754	740.1967213114754	8.616	8.047	9.408	0	45152	6	61.028
read	1M	32	802.8852459016393	802.8852459016393	9.306	8.526	10.056	0	48976	8	61.03
